211.91 Hz | Z: -9.12 Magnitude: 0.00
212.89 Hz | Z: -9.11 Magnitude: 0.02
213.87 Hz | Z: -9.11 Magnitude: 0.03
214.84 Hz | Z: -9.11 Magnitude: 0.01
215.82 Hz | Z: -9.11 Magnitude: 0.02
216.80 Hz | Z: -9.11 Magnitude: 0.02
217.77 Hz | Z: -9.11 Magnitude: 0.01
218.75 Hz | Z: -9.11 Magnitude: 0.01
219.73 Hz | Z: -9.11 Magnitude: 0.01
220.70 Hz | Z: -9.11 Magnitude: 0.02
221.68 Hz | Z: -9.11 Magnitude: 0.02
222.66 Hz | Z: -9.11 Magnitude: 0.03
223.63 Hz | Z: -9.11 Magnitude: 0.03
224.61 Hz | Z: -9.11 Magnitude: 0.03
225.59 Hz | Z: -9.11 Magnitude: 0.02
226.56 Hz | Z: -9.11 Magnitude: 0.03
227.54 Hz | Z: -9.11 Magnitude: 0.01
228.52 Hz | Z: -9.11 Magnitude: 0.02
229.49 Hz | Z: -9.11 Magnitude: 0.05
230.47 Hz | Z: -9.11 Magnitude: 0.03
231.45 Hz | Z: -9.11 Magnitude: 0.00
232.42 Hz | Z: -9.11 Magnitude: 0.02
233.40 Hz | Z: -9.11 Magnitude: 0.03
234.37 Hz | Z: -9.11 Magnitude: 0.02
235.35 Hz | Z: -9.11 Magnitude: 0.03
236.33 Hz | Z: -9.11 Magnitude: 0.02
237.30 Hz | Z: -9.10 Magnitude: 0.02
238.28 Hz | Z: -9.10 Magnitude: 0.02
239.26 Hz | Z: -9.10 Magnitude: 0.02
240.23 Hz | Z: -9.10 Magnitude: 0.07
241.21 Hz | Z: -9.10 Magnitude: 0.02
242.19 Hz | Z: -9.10 Magnitude: 0.04
243.16 Hz | Z: -9.10 Magnitude: 0.05
244.14 Hz | Z: -9.10 Magnitude: 0.03
245.12 Hz | Z: -9.10 Magnitude: 0.01
246.09 Hz | Z: -9.10 Magnitude: 0.02
247.07 Hz | Z: -9.10 Magnitude: 0.02
248.05 Hz | Z: -9.10 Magnitude: 0.02
249.02 Hz | Z: -9.10 Magnitude: 0.03
Peak: 8.88
Loop: 10
0.00 Hz | Z: -9.11 Magnitude: 4662.37
0.98 Hz | Z: -9.12 Magnitude: 1.66
1.95 Hz | Z: -9.12 Magnitude: 1.12
2.93 Hz | Z: -9.12 Magnitude: 0.71
3.91 Hz | Z: -9.12 Magnitude: 0.49
4.88 Hz | Z: -9.12 Magnitude: 0.33
5.86 Hz | Z: -9.12 Magnitude: 0.58
6.84 Hz | Z: -9.12 Magnitude: 0.67
7.81 Hz | Z: -9.12 Magnitude: 0.54
8.79 Hz | Z: -9.12 Magnitude: 0.49
9.77 Hz | Z: -9.12 Magnitude: 0.97
10.74 Hz | Z: -9.12 Magnitude: 0.45
11.72 Hz | Z: -9.12 Magnitude: 0.38
12.70 Hz | Z: -9.12 Magnitude: 0.28
13.67 Hz | Z: -9.12 Magnitude: 0.32
14.65 Hz | Z: -9.12 Magnitude: 0.23
15.63 Hz | Z: -9.12 Magnitude: 0.24
16.60 Hz | Z: -9.11 Magnitude: 0.41
17.58 Hz | Z: -9.12 Magnitude: 0.43
18.55 Hz | Z: -9.12 Magnitude: 0.25
19.53 Hz | Z: -9.12 Magnitude: 0.15
20.51 Hz | Z: -9.12 Magnitude: 0.27
21.48 Hz | Z: -9.12 Magnitude: 0.34
22.46 Hz | Z: -9.12 Magnitude: 0.36
23.44 Hz | Z: -9.13 Magnitude: 0.20
24.41 Hz | Z: -9.13 Magnitude: 0.18
25.39 Hz | Z: -9.13 Magnitude: 0.19
26.37 Hz | Z: -9.13 Magnitude: 0.13
27.34 Hz | Z: -9.12 Magnitude: 0.27
28.32 Hz | Z: -9.12 Magnitude: 0.13
29.30 Hz | Z: -9.12 Magnitude: 0.01
30.27 Hz | Z: -9.12 Magnitude: 0.17
31.25 Hz | Z: -9.12 Magnitude: 0.23
32.23 Hz | Z: -9.12 Magnitude: 0.22
33.20 Hz | Z: -9.12 Magnitude: 0.17
34.18 Hz | Z: -9.12 Magnitude: 0.31
35.16 Hz | Z: -9.12 Magnitude: 0.08
36.13 Hz | Z: -9.12 Magnitude: 0.17
37.11 Hz | Z: -9.12 Magnitude: 0.03
38.09 Hz | Z: -9.11 Magnitude: 0.15
39.06 Hz | Z: -9.11 Magnitude: 0.18
40.04 Hz | Z: -9.11 Magnitude: 0.12
41.02 Hz | Z: -9.10 Magnitude: 0.12
41.99 Hz | Z: -9.10 Magnitude: 0.18
42.97 Hz | Z: -9.10 Magnitude: 0.06
43.95 Hz | Z: -9.11 Magnitude: 0.11
44.92 Hz | Z: -9.11 Magnitude: 0.11
45.90 Hz | Z: -9.11 Magnitude: 0.16
46.88 Hz | Z: -9.11 Magnitude: 0.03
47.85 Hz | Z: -9.11 Magnitude: 0.13
48.83 Hz | Z: -9.11 Magnitude: 0.10
49.80 Hz | Z: -9.11 Magnitude: 0.08
50.78 Hz | Z: -9.10 Magnitude: 0.11
51.76 Hz | Z: -9.10 Magnitude: 0.21
52.73 Hz | Z: -9.10 Magnitude: 0.08
53.71 Hz | Z: -9.10 Magnitude: 0.11
54.69 Hz | Z: -9.11 Magnitude: 0.07
55.66 Hz | Z: -9.11 Magnitude: 0.06
56.64 Hz | Z: -9.11 Magnitude: 0.07
57.62 Hz | Z: -9.11 Magnitude: 0.10
58.59 Hz | Z: -9.10 Magnitude: 0.15
59.57 Hz | Z: -9.10 Magnitude: 0.02
60.55 Hz | Z: -9.10 Magnitude: 0.08
61.52 Hz | Z: -9.10 Magnitude: 0.03
62.50 Hz | Z: -9.11 Magnitude: 0.03
63.48 Hz | Z: -9.11 Magnitude: 0.04
64.45 Hz | Z: -9.10 Magnitude: 0.04
65.43 Hz | Z: -9.10 Magnitude: 0.09
66.41 Hz | Z: -9.11 Magnitude: 0.09
67.38 Hz | Z: -9.11 Magnitude: 0.12
68.36 Hz | Z: -9.11 Magnitude: 0.07
69.34 Hz | Z: -9.11 Magnitude: 0.06
70.31 Hz | Z: -9.11 Magnitude: 0.07
71.29 Hz | Z: -9.11 Magnitude: 0.14
72.27 Hz | Z: -9.11 Magnitude: 0.08
73.24 Hz | Z: -9.11 Magnitude: 0.04
74.22 Hz | Z: -9.12 Magnitude: 0.04
75.20 Hz | Z: -9.12 Magnitude: 0.08
76.17 Hz | Z: -9.12 Magnitude: 0.06
77.15 Hz | Z: -9.11 Magnitude: 0.13
78.12 Hz | Z: -9.11 Magnitude: 0.05
79.10 Hz | Z: -9.11 Magnitude: 0.07
80.08 Hz | Z: -9.11 Magnitude: 0.07
81.05 Hz | Z: -9.11 Magnitude: 0.11
82.03 Hz | Z: -9.11 Magnitude: 0.06
83.01 Hz | Z: -9.11 Magnitude: 0.05
83.98 Hz | Z: -9.11 Magnitude: 0.04
84.96 Hz | Z: -9.11 Magnitude: 0.02
85.94 Hz | Z: -9.11 Magnitude: 0.08
86.91 Hz | Z: -9.10 Magnitude: 0.08
87.89 Hz | Z: -9.11 Magnitude: 0.09
88.87 Hz | Z: -9.11 Magnitude: 0.05
89.84 Hz | Z: -9.10 Magnitude: 0.01
90.82 Hz | Z: -9.10 Magnitude: 0.05
91.80 Hz | Z: -9.11 Magnitude: 0.05
92.77 Hz | Z: -9.11 Magnitude: 0.04
93.75 Hz | Z: -9.11 Magnitude: 0.07
94.73 Hz | Z: -9.12 Magnitude: 0.06
95.70 Hz | Z: -9.12 Magnitude: 0.04
96.68 Hz | Z: -9.12 Magnitude: 0.03
97.66 Hz | Z: -9.12 Magnitude: 0.06
98.63 Hz | Z: -9.12 Magnitude: 0.05
99.61 Hz | Z: -9.11 Magnitude: 0.05
100.59 Hz | Z: -9.11 Magnitude: 0.04
101.56 Hz | Z: -9.11 Magnitude: 0.05
102.54 Hz | Z: -9.10 Magnitude: 0.07
103.52 Hz | Z: -9.11 Magnitude: 0.04
104.49 Hz | Z: -9.11 Magnitude: 0.01
105.47 Hz | Z: -9.11 Magnitude: 0.09
106.45 Hz | Z: -9.11 Magnitude: 0.04
107.42 Hz | Z: -9.11 Magnitude: 0.03
108.40 Hz | Z: -9.12 Magnitude: 0.02
109.37 Hz | Z: -9.12 Magnitude: 0.02
110.35 Hz | Z: -9.12 Magnitude: 0.07
111.33 Hz | Z: -9.12 Magnitude: 0.05
112.30 Hz | Z: -9.13 Magnitude: 0.06
113.28 Hz | Z: -9.13 Magnitude: 0.02
114.26 Hz | Z: -9.12 Magnitude: 0.06
115.23 Hz | Z: -9.12 Magnitude: 0.02
116.21 Hz | Z: -9.11 Magnitude: 0.03
117.19 Hz | Z: -9.11 Magnitude: 0.07
118.16 Hz | Z: -9.11 Magnitude: 0.04
119.14 Hz | Z: -9.11 Magnitude: 0.04
120.12 Hz | Z: -9.11 Magnitude: 0.05
121.09 Hz | Z: -9.11 Magnitude: 0.05
122.07 Hz | Z: -9.11 Magnitude: 0.01
123.05 Hz | Z: -9.10 Magnitude: 0.03
124.02 Hz | Z: -9.10 Magnitude: 0.02
125.00 Hz | Z: -9.10 Magnitude: 0.06
125.98 Hz | Z: -9.10 Magnitude: 0.06
126.95 Hz | Z: -9.10 Magnitude: 0.01
127.93 Hz | Z: -9.10 Magnitude: 0.03
128.91 Hz | Z: -9.10 Magnitude: 0.02
129.88 Hz | Z: -9.10 Magnitude: 0.06
130.86 Hz | Z: -9.10 Magnitude: 0.04
131.84 Hz | Z: -9.10 Magnitude: 0.06
132.81 Hz | Z: -9.10 Magnitude: 0.06
133.79 Hz | Z: -9.11 Magnitude: 0.02
134.77 Hz | Z: -9.11 Magnitude: 0.03
135.74 Hz | Z: -9.11 Magnitude: 0.01
136.72 Hz | Z: -9.11 Magnitude: 0.03
137.70 Hz | Z: -9.11 Magnitude: 0.04
138.67 Hz | Z: -9.11 Magnitude: 0.03
139.65 Hz | Z: -9.11 Magnitude: 0.05
140.62 Hz | Z: -9.11 Magnitude: 0.04
141.60 Hz | Z: -9.10 Magnitude: 0.01
142.58 Hz | Z: -9.10 Magnitude: 0.02
143.55 Hz | Z: -9.10 Magnitude: 0.04
144.53 Hz | Z: -9.10 Magnitude: 0.02
145.51 Hz | Z: -9.10 Magnitude: 0.01
146.48 Hz | Z: -9.10 Magnitude: 0.04
147.46 Hz | Z: -9.10 Magnitude: 0.03
148.44 Hz | Z: -9.10 Magnitude: 0.02
149.41 Hz | Z: -9.10 Magnitude: 0.01
150.39 Hz | Z: -9.09 Magnitude: 0.04
151.37 Hz | Z: -9.09 Magnitude: 0.06
152.34 Hz | Z: -9.10 Magnitude: 0.04
153.32 Hz | Z: -9.10 Magnitude: 0.02
154.30 Hz | Z: -9.10 Magnitude: 0.02
155.27 Hz | Z: -9.10 Magnitude: 0.02
156.25 Hz | Z: -9.10 Magnitude: 0.05
